=== K-means HPC Benchmark Sun May 24 08:46:56 PM -05 2026 ===
Tile: 540x1920 = 1036800 pixels | K=6 | iters=50
Model name:                              AMD Ryzen 9 9900X3D 12-Core Processor
Core(s) per socket:                      12

[ Serial ]
serial             ranks=1  threads=1  :  134.2ms  134.3ms  134.1ms  132.1ms  134.3ms 

[ OpenMP ]
omp_2t             ranks=1  threads=2  :  106.7ms  109.3ms  109.5ms  109.5ms  109.6ms 
omp_4t             ranks=1  threads=4  :   71.8ms   72.1ms   72.6ms   71.6ms   71.5ms 
omp_6t             ranks=1  threads=6  :   53.2ms   53.0ms   53.6ms   53.0ms   53.3ms 
omp_8t             ranks=1  threads=8  :   45.3ms   45.7ms   44.6ms   45.1ms   45.6ms 
omp_12t            ranks=1  threads=12 :   35.7ms   35.4ms   36.6ms   36.8ms   35.4ms 
omp_16t            ranks=1  threads=16 :   26.8ms   27.8ms   27.0ms   27.2ms   27.7ms 
omp_20t            ranks=1  threads=20 :   22.4ms   22.4ms   22.7ms   22.4ms   23.3ms 

[ MPI ]
mpi_2r             ranks=2  threads=1  :  448.0ms  432.0ms  448.0ms  448.0ms  436.0ms 
mpi_4r             ranks=4  threads=1  :  736.0ms  704.0ms  736.0ms  736.0ms  704.0ms 
mpi_8r             ranks=8  threads=1  :  992.0ms  992.0ms 1024.0ms 1120.0ms 1024.0ms 

[ Hybrid ]
hybrid_2x6         ranks=2  threads=6  :  328.0ms  360.0ms  328.0ms  348.0ms  352.0ms 
hybrid_2x10        ranks=2  threads=10 :  324.0ms  320.0ms  324.0ms  316.0ms  332.0ms 
hybrid_4x5         ranks=4  threads=5  :  652.0ms  680.0ms  624.0ms  688.0ms  728.0ms 
hybrid_5x4         ranks=5  threads=4  : 1104.0ms 1016.0ms 1120.0ms 1120.0ms 1008.0ms 

=== DONE Sun May 24 08:49:15 PM -05 2026 ===
config,ranks,threads,total_cores,time_ms,run
serial,1,1,1,134.2,1
serial,1,1,1,134.3,2
serial,1,1,1,134.1,3
serial,1,1,1,132.1,4
serial,1,1,1,134.3,5
omp_2t,1,2,2,106.7,1
omp_2t,1,2,2,109.3,2
omp_2t,1,2,2,109.5,3
omp_2t,1,2,2,109.5,4
omp_2t,1,2,2,109.6,5
omp_4t,1,4,4,71.8,1
omp_4t,1,4,4,72.1,2
omp_4t,1,4,4,72.6,3
omp_4t,1,4,4,71.6,4
omp_4t,1,4,4,71.5,5
omp_6t,1,6,6,53.2,1
omp_6t,1,6,6,53.0,2
omp_6t,1,6,6,53.6,3
omp_6t,1,6,6,53.0,4
omp_6t,1,6,6,53.3,5
omp_8t,1,8,8,45.3,1
omp_8t,1,8,8,45.7,2
omp_8t,1,8,8,44.6,3
omp_8t,1,8,8,45.1,4
omp_8t,1,8,8,45.6,5
omp_12t,1,12,12,35.7,1
omp_12t,1,12,12,35.4,2
omp_12t,1,12,12,36.6,3
omp_12t,1,12,12,36.8,4
omp_12t,1,12,12,35.4,5
omp_16t,1,16,16,26.8,1
omp_16t,1,16,16,27.8,2
omp_16t,1,16,16,27.0,3
omp_16t,1,16,16,27.2,4
omp_16t,1,16,16,27.7,5
omp_20t,1,20,20,22.4,1
omp_20t,1,20,20,22.4,2
omp_20t,1,20,20,22.7,3
omp_20t,1,20,20,22.4,4
omp_20t,1,20,20,23.3,5
mpi_2r,2,1,2,448.0,1
mpi_2r,2,1,2,432.0,2
mpi_2r,2,1,2,448.0,3
mpi_2r,2,1,2,448.0,4
mpi_2r,2,1,2,436.0,5
mpi_4r,4,1,4,736.0,1
mpi_4r,4,1,4,704.0,2
mpi_4r,4,1,4,736.0,3
mpi_4r,4,1,4,736.0,4
mpi_4r,4,1,4,704.0,5
mpi_8r,8,1,8,992.0,1
mpi_8r,8,1,8,992.0,2
mpi_8r,8,1,8,1024.0,3
mpi_8r,8,1,8,1120.0,4
mpi_8r,8,1,8,1024.0,5
hybrid_2x6,2,6,12,328.0,1
hybrid_2x6,2,6,12,360.0,2
hybrid_2x6,2,6,12,328.0,3
hybrid_2x6,2,6,12,348.0,4
hybrid_2x6,2,6,12,352.0,5
hybrid_2x10,2,10,20,324.0,1
hybrid_2x10,2,10,20,320.0,2
hybrid_2x10,2,10,20,324.0,3
hybrid_2x10,2,10,20,316.0,4
hybrid_2x10,2,10,20,332.0,5
hybrid_4x5,4,5,20,652.0,1
hybrid_4x5,4,5,20,680.0,2
hybrid_4x5,4,5,20,624.0,3
hybrid_4x5,4,5,20,688.0,4
hybrid_4x5,4,5,20,728.0,5
hybrid_5x4,5,4,20,1104.0,1
hybrid_5x4,5,4,20,1016.0,2
hybrid_5x4,5,4,20,1120.0,3
hybrid_5x4,5,4,20,1120.0,4
hybrid_5x4,5,4,20,1008.0,5
